Standard,SteelGrade,"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %","wt_As, %",YieldStress,TensileStrength,Elongation
ГОСТ 1050-2013,05кп,0.051,0.0255,0.34,0.0255,0.02975,0,0,0,0,0,0.085,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,08кп,0.1095,0.0255,0.4625,0.0255,0.02975,0,0,0,0,0,0.085,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,08пс,0.101,0.152,0.605,0.0255,0.02975,0,0,0,0,0,0.085,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,08,0.1095,0.34,0.605,0.0255,0.02975,0,0,0,0,0,0.085,0.255,0.255,0,215.6,352,36.3
ГОСТ 1050-2013,10кп,0.1295,0.0595,0.4625,0.0255,0.02975,0,0,0,0,0,0.1275,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,10пс,0.1295,0.152,0.605,0.0255,0.02975,0,0,0,0,0,0.1275,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,10,0.1295,0.34,0.605,0.0255,0.02975,0,0,0,0,0,0.1275,0.255,0.255,0,225.5,363,34.1
ГОСТ 1050-2013,11кп,0.1095,0.051,0.47,0.0255,0.02975,0,0,0,0,0,0.1275,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,15кп,0.1795,0.0595,0.4625,0.0255,0.02975,0,0,0,0,0,0.2125,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,15пс,0.1795,0.152,0.605,0.0255,0.02975,0,0,0,0,0,0.2125,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,15,0.1795,0.34,0.605,0.0255,0.02975,0,0,0,0,0,0.2125,0.255,0.255,0,247.5,407,29.7
ГОСТ 1050-2013,18кп,0.188,0.051,0.47,0.0255,0.02975,0,0,0,0,0,0.1275,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,20кп,0.2295,0.0595,0.4625,0.0255,0.02975,0,0,0,0,0,0.2125,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,20пс,0.2295,0.152,0.605,0.0255,0.02975,0,0,0,0,0,0.2125,0.255,0.255,0,0,0,0
ГОСТ 1050-2013,20,0.2295,0.34,0.605,0.0255,0.02975,0,0,0,0,0,0.2125,0.255,0.255,0,269.5,451,27.5
ГОСТ 1050-2013,25,0.288,0.34,0.755,0.0255,0.02975,0,0,0,0,0,0.2125,0.255,0.255,0,302.5,495,25.3
