"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %",YieldStress
0.1095,0.34,0.605,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.085,0.255,0.255,215.6
0.1295,0.34,0.605,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.1275,0.255,0.255,225.5
0.1795,0.34,0.605,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,247.5
0.2295,0.34,0.605,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,269.5
0.288,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,302.5
0.338,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,324.5
0.388,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,346.5
0.438,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,368.5
0.488,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,390.5
0.538,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,412.5
0.588,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,418.0
0.788,0.27,0.17,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.1275,0.255,0.255,346.5
0.638,0.34,0.755,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.2125,0.255,0.255,440.0
0.638,0.27,0.17,0.02975,0.034,0.0,0.0,0.0,0.0,0.0,0.1275,0.255,0.255,390.5
0.604,0.27,0.17,0.02975,0.034,0.0,0.0,0.0,0.0,0.0,0.1275,0.255,0.255,390.5
0.1795,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,269.5
0.2295,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,302.5
0.288,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,324.5
0.338,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,346.5
0.388,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,368.5
0.438,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,390.5
0.488,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,412.5
0.5395,0.34,0.955,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,429.0
0.138,0.34,1.71,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,269.5
0.3365,0.34,1.74,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,379.5
0.378,0.34,1.74,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,401.5
0.428,0.34,1.74,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,418.0
0.478,0.34,1.74,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,440.0
0.5365,0.34,1.74,0.0255,0.02975,0.0,0.0,0.0,0.0,0.0,0.255,0.255,0.255,462.0
