# Время	Инженерная деформация	Инженерное напряжение
0.0000	0.0000	6.0621
0.1000	0.0616	7.5904
0.2000	0.1282	9.8828
0.3000	0.2144	14.8242
0.4000	0.3030	22.1090
0.5000	0.3282	25.0637
0.6000	0.4146	36.3729
0.7000	0.5022	50.0255
0.8000	0.5900	64.8497
0.9000	0.5982	66.3271
1.0000	0.6624	76.8721
1.1000	0.7486	104.2792
1.2000	0.8360	119.3072
1.3000	0.8622	120.3770
1.4000	0.9288	134.7937
1.5000	0.9956	145.0841
1.6000	1.0626	153.1839
1.7000	1.1498	168.6704
1.8000	1.1960	176.3118
1.9000	1.2628	198.5227
2.0000	1.3292	214.5186
2.1000	1.4160	231.2277
2.2000	1.4620	235.0993
2.3000	1.5290	254.4065
2.4000	1.5958	269.8421
2.5000	1.6628	284.7173
2.6000	1.7504	294.2944
2.7000	1.7966	298.6246
2.8000	1.8632	309.3734
2.9000	1.9298	320.4789
3.0000	1.9966	329.7504
3.1000	2.0634	336.3729
3.2000	2.1300	340.1426
3.3000	2.1966	342.6388
3.4000	2.2634	344.6256
3.5000	2.3300	346.7652
3.6000	2.3966	348.7010
3.7000	2.4634	350.5858
3.8000	2.5304	352.4707
3.9000	2.5974	354.4065
4.0000	2.6848	356.8008
4.1000	2.7308	358.0234
4.2000	2.7978	359.8574
4.3000	2.8640	361.5385
4.4000	2.9306	363.2196
4.5000	2.9976	365.0025
4.6000	3.0650	366.7855
4.7000	3.1320	368.5176
4.8000	3.1988	370.3006
4.9000	3.2658	371.9817
5.0000	3.3324	373.5609
5.1000	3.3988	375.2420
5.2000	3.4652	376.8212
5.3000	3.5318	378.4513
5.4000	3.5988	379.8777
5.5000	3.6656	381.4060
5.6000	3.7328	382.9852
5.7000	3.7994	384.6663
5.8000	3.8658	386.2455
5.9000	3.9322	387.8248
6.0000	3.9988	389.2511
6.1000	4.0656	390.7794
6.2000	4.1546	392.8171
6.3000	4.1994	393.7341
6.4000	4.2662	395.1605
6.5000	4.3330	396.5869
6.6000	4.3996	398.0132
6.7000	4.4662	399.3377
6.8000	4.5332	400.7641
6.9000	4.6000	402.0886
7.0000	4.6666	403.5150
7.1000	4.7332	404.8395
7.2000	4.7998	406.1131
7.3000	4.8660	407.4376
7.4000	4.9322	408.7112
7.5000	4.9988	409.9338
7.6000	5.0660	411.2583
7.7000	5.1330	412.5318
7.8000	5.2000	413.6526
7.9000	5.2670	415.0280
8.0000	5.3336	416.2506
8.1000	5.4216	417.8808
8.2000	5.4486	418.5940
8.3000	5.4820	418.2883
8.4000	5.5154	417.8299
8.5000	5.5490	418.8487
8.6000	5.5826	420.4789
8.7000	5.6162	421.8543
8.8000	5.6498	422.8732
8.9000	5.6834	423.7901
9.0000	5.7170	424.6052
9.1000	5.7504	425.2165
9.2000	5.7836	425.9806
9.3000	5.8168	426.6938
9.4000	5.8498	427.3051
9.5000	5.8830	427.7127
9.6000	5.9162	428.2731
9.7000	5.9494	428.9353
9.8000	5.9826	429.4447
9.9000	6.0156	429.9542
10.0000	6.0490	430.5655
10.1000	6.0824	431.1258
10.2000	6.1158	431.6862
10.3000	6.1492	432.1447
10.4000	6.1826	432.6032
10.5000	6.2160	433.1635
10.6000	6.2496	433.8258
10.7000	6.2830	434.2843
10.8000	6.3162	434.7427
10.9000	6.3494	435.3540
11.0000	6.3936	435.9654
11.1000	6.4162	436.3220
11.2000	6.4496	436.8823
11.3000	6.4830	437.3408
11.4000	6.5164	437.7993
11.5000	6.5500	438.2578
11.6000	6.5836	438.8691
11.7000	6.6170	439.3276
11.8000	6.6506	439.7860
11.9000	6.6840	440.2445
12.0000	6.7174	440.7539
12.1000	6.7508	441.2634
12.2000	6.7840	441.7219
12.3000	6.8174	442.1294
12.4000	6.8506	442.6388
