# Время	Инженерная деформация	Инженерное напряжение
0.0000	0.0000	6.0621
0.1000	0.0006	7.5951
0.2000	0.0013	9.8955
0.3000	0.0021	14.8560
0.4000	0.0030	22.1760
0.5000	0.0033	25.1460
0.6000	0.0041	36.5237
0.7000	0.0050	50.2767
0.8000	0.0059	65.2323
0.9000	0.0060	66.7239
1.0000	0.0066	77.3813
1.1000	0.0075	105.0598
1.2000	0.0083	120.3046
1.3000	0.0086	121.4149
1.4000	0.0092	136.0457
1.5000	0.0099	146.5286
1.6000	0.0106	154.8116
1.7000	0.0114	170.6098
1.8000	0.0119	178.4205
1.9000	0.0125	201.0296
2.0000	0.0132	217.3700
2.1000	0.0141	234.5019
2.2000	0.0145	238.5365
2.3000	0.0152	258.2964
2.4000	0.0158	274.1482
2.5000	0.0165	289.4516
2.6000	0.0174	299.4457
2.7000	0.0178	303.9897
2.8000	0.0185	315.1376
2.9000	0.0191	326.6635
3.0000	0.0198	336.3342
3.1000	0.0204	343.3136
3.2000	0.0211	347.3876
3.3000	0.0217	350.1652
3.4000	0.0224	352.4259
3.5000	0.0230	354.8448
3.6000	0.0237	357.0580
3.7000	0.0243	359.2221
3.8000	0.0250	361.3896
3.9000	0.0256	363.6119
4.0000	0.0265	366.3802
4.1000	0.0269	367.8003
4.2000	0.0276	369.9255
4.3000	0.0282	371.8930
4.4000	0.0289	373.8641
4.5000	0.0295	375.9438
4.6000	0.0302	378.0275
4.7000	0.0308	380.0596
4.8000	0.0315	382.1458
4.9000	0.0321	384.1299
5.0000	0.0328	386.0094
5.1000	0.0334	387.9957
5.2000	0.0341	389.8788
5.3000	0.0347	391.8174
5.4000	0.0354	393.5487
5.5000	0.0360	395.3868
5.6000	0.0366	397.2813
5.7000	0.0373	399.2813
5.8000	0.0379	401.1770
5.9000	0.0386	403.0748
6.0000	0.0392	404.8165
6.1000	0.0399	406.6669
6.2000	0.0407	409.1371
6.3000	0.0411	410.2686
6.4000	0.0418	412.0188
6.5000	0.0424	413.7710
6.6000	0.0431	415.5242
6.7000	0.0437	417.1729
6.8000	0.0443	418.9315
6.9000	0.0450	420.5847
7.0000	0.0456	422.3454
7.1000	0.0462	424.0014
