Tempering_time_(s) Tempering_temperature_(ºC) C(%wt) Mn(%wt) P(%wt) S(%wt) Si(%wt) Ni(%wt) Cr(%wt) Mo(%wt) V(%wt) Al(%wt) Cu(%wt) Final_hardness_(HRC)_post_tempering
600 204.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 50.6
600 260 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 48.3
600 315.6 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 43.7
600 371.1 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 40.5
600 426.7 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 37.3
600 482.2 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 31.2
600 537.8 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 26.2
600 593.3 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 23.1
600 648.9 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 17.3
600 704.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 11.7
3600 204.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 48.9
3600 260 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 45.9
3600 315.6 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 42.5
3600 371.1 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 39.2
3600 426.7 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 33.4
3600 482.2 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 28.5
3600 537.8 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 22.6
3600 648.9 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 12.6
3600 704.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 8.6
14400 204.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 47.6
14400 260 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 44.7
14400 315.6 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 40.9
14400 371.1 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 37.1
14400 426.7 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 31.6
14400 482.2 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 26.2
14400 537.8 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 20.7
14400 593.3 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 15.0
14400 648.9 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 9.4
14400 704.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 7.0
86400 204.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 45.5
86400 260 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 43.4
86400 315.6 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 40.7
86400 371.1 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 34.3
86400 426.7 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 28.4
86400 482.2 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 23.6
86400 537.8 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 18.7
86400 593.3 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 10.9
86400 648.9 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 2.6
86400 704.4 0.25 0.79 0.012 0.026 0.11 0 0 0 0 0 0 3.2
600 204.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 52.1
600 260 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 49.1
600 315.6 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 44.3
600 371.1 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 40.2
600 426.7 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 37.5
600 482.2 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 30.4
600 537.8 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 25.8
600 593.3 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 22.1
600 648.9 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 15.5
600 704.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 13.1
3600 204.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 49.3
3600 260 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 45.9
3600 315.6 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 42.2
3600 371.1 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 39.4
3600 426.7 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 34.0
3600 482.2 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 29.0
3600 537.8 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 22.4
3600 648.9 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 11.7
3600 704.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 10.2
14400 204.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 48.3
14400 260 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 44.9
14400 315.6 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 40.9
14400 371.1 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 37.3
14400 426.7 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 31.3
14400 482.2 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 25.6
14400 537.8 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 20.9
14400 593.3 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 10.9
14400 648.9 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 8.6
14400 704.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 7.3
86400 204.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 46.8
86400 260 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 43.9
86400 315.6 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 40.9
86400 371.1 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 35.4
86400 426.7 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 27.8
86400 482.2 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 23.3
86400 537.8 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 16.1
86400 593.3 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 6.5
86400 648.9 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 0.9
86400 704.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 2.3
600 204.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 52.3
